protein1,protein2,interaction
256,1305,0
256,203,0
256,1499,0
306,306,0
306,307,0
306,582,0
306,953,0
287,350,0
287,428,0
287,472,0
287,1121,0
287,1321,0
287,740,0
287,81,0
287,1178,0
287,1417,0
287,168,0
287,346,0
287,1226,0
287,1261,0
287,1566,0
287,582,0
287,578,0
46,745,0
46,1416,0
46,1353,0
46,1043,0
46,1255,0
45,45,0
45,582,0
587,587,0
587,590,0
587,1468,0
587,702,0
587,1340,0
587,773,0
587,1197,0
587,170,0
587,1424,0
587,1511,0
587,1250,0
587,1441,0
587,1281,0
587,1563,0
1102,1556,0
1102,87,0
1102,1089,0
1102,36,0
1102,1487,0
1102,170,0
1102,1424,0
1102,115,0
1102,54,0
1102,1358,0
1102,1281,0
1102,84,0
1102,1538,0
1102,381,0
463,260,0
463,1306,0
463,418,0
463,115,0
463,385,0
463,94,0
464,464,0
465,465,0
1104,1303,0
1104,1072,0
1104,1073,0
1104,1121,0
1104,1324,0
1104,696,0
1104,22,0
1104,28,0
1104,334,0
1104,1275,0
1560,1560,0
1560,582,0
1381,1381,0
1381,1382,0
1381,1341,0
600,1306,0
600,128,0
600,582,0
601,601,0
601,1386,0
601,632,0
601,900,0
601,582,0
603,602,0
1306,1306,0
452,450,0
452,989,0
451,453,0
450,450,0
454,473,0
454,1121,0
454,663,0
454,1131,0
454,11,0
454,1199,0
454,54,0
454,1356,0
454,102,0
454,582,0
454,1281,0
454,1287,0
454,1538,0
454,381,0
449,1303,0
449,448,0
449,627,0
449,86,0
449,1095,0
449,1338,0
449,304,0
449,262,0
449,1289,0
448,453,0
448,448,0
448,1315,0
448,97,0
448,455,0
147,147,0
309,1480,0
309,1222,0
350,45,0
350,350,0
350,1391,0
350,1095,0
350,1406,0
350,1499,0
350,153,0
350,1096,0
350,5,0
350,1097,0
350,1098,0
610,410,0
610,379,0
610,1121,0
610,1411,0
610,395,0
610,232,0
610,778,0
610,784,0
610,138,0
610,815,0
610,1215,0
610,41,0
610,199,0
610,1045,0
610,207,0
610,578,0
610,1567,0
216,216,0
216,582,0
612,1535,0
612,219,0
80,611,0
80,575,0
614,115,0
110,1321,0
110,1045,0
184,1323,0
184,582,0
379,993,0
379,1184,0
1107,1509,0
30,80,0
30,627,0
30,1392,0
30,1470,0
30,1318,0
30,481,0
30,113,0
30,362,0
30,244,0
30,498,0
30,2,0
30,425,0
30,1425,0
30,1241,0
30,89,0
30,92,0
30,393,0
30,296,0
30,524,0
30,966,0
30,1562,0
621,46,0
621,1306,0
621,80,0
621,218,0
621,1392,0
621,1470,0
621,1317,0
621,1404,0
621,1005,0
621,1171,0
621,747,0
621,1338,0
621,244,0
621,1174,0
621,754,0
621,1503,0
621,180,0
621,1350,0
621,859,0
621,456,0
621,894,0
621,79,0
621,296,0
621,32,0
621,1562,0
1311,428,0
1311,418,0
1311,715,0
1311,458,0
1311,1261,0
623,1386,0
623,213,0
623,222,0
623,1089,0
623,36,0
623,1186,0
623,1199,0
623,1514,0
623,1041,0
623,889,0
623,344,0
623,79,0
624,1004,0
624,1077,0
624,47,0
624,1549,0
624,1272,0
624,582,0
627,627,0
630,117,0
90,582,0
90,1555,0
90,381,0
634,1204,0
635,410,0
635,407,0
635,87,0
635,747,0
635,1416,0
635,455,0
635,71,0
635,582,0
638,1101,0
638,648,0
638,1116,0
638,455,0
638,1030,0
638,947,0
638,385,0
429,1171,0
429,934,0
429,13,0
429,1289,0
639,1121,0
639,682,0
639,1004,0
639,462,0
639,1549,0
639,366,0
639,319,0
